UEI,Legal_Business_Name,DBA_Name,CAGE_Code,Registration_Status,Registration_Date,Expiration_Date,Last_Updated_Date,Purpose_of_Registration,Phys_Address_1,Phys_Address_2,Phys_City,Phys_State_Province,Phys_Zip,Phys_Country,Congressional_District,Mail_Address_1,Mail_City,Mail_State_Province,Mail_Zip,Mail_Country,Entity_Structure,Is_Small_Business,Is_Minority_Owned,Is_Women_Owned,Is_Veteran_Owned,Is_SDVOSB,Is_HUBZone,Is_8a_Program,Is_Non_Profit,Primary_NAICS_Code,Primary_NAICS_Description,Secondary_NAICS_Codes_List,PSC_Codes_List,Gov_Contact_Name,Gov_Contact_Email,Gov_Contact_Phone,EBiz_Contact_Name,EBiz_Contact_Email,EBiz_Contact_Phone,Has_Active_Exclusions,Exclusion_Type,Delinquent_Federal_Tax,Exec_Comp_1_Name,Exec_Comp_1_Amt
NVTCTUZG64R5,HOPE PULSE FOUNDATION FOR COMMUNITY DEVELOPMENT,,SQEM0,Active,2026-07-08,2027-07-08,2026-07-08,Federal Assistance Awards,FIRST TA'AMIM,,RAMADI,,,IRQ,,FIRST TA'AMIM,RAMADI,,,IRQ,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Mamoon Hammad,,,N,,N,,
V6DMWBQCWY73,i5Empire,,,Active,2026-07-07,2027-07-07,2026-07-07,Federal Assistance Awards,1005 80 High St,,Preston,,,AUS,,1005 80 High St,Preston,,,AUS,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Michelle Power,,,N,,N,,
V87MKLNAQEL3,The Faciem-Valorem Corporation,,,Active,2026-07-07,2027-07-07,2026-07-07,Federal Assistance Awards,90 greengrove way,,Whitby,ON,L1R 2N4,CAN,,90 Greengrove way,Whitby,ON,L1R 2N4,CAN,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Jaryd Bellas-Menzie,,,N,,N,,
WGEJTNV812T4,Scientific Cyber Security Association,,,Active,2026-07-07,2027-07-07,2026-07-07,Federal Assistance Awards,"Machabeli, 16",,Tbilisi,,,GEO,,"Machabeli, 16",Tbilisi,,,GEO,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Maksim Iavich,,,N,,N,,
RBSRFGLSWCP5,Mesma-Cultural Development Fund,,,Active,2026-07-07,2027-07-07,2026-07-07,Federal Assistance Awards,"Natia Bashaleishvii Street, N21",,Tbilisi,,,GEO,,"Natia Bashaleishvii Street, N21",Tbilisi,,,GEO,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Nino Japaridze,,,N,,N,,
X1X7RHWD9TJ8,KIRCT KILIMANJARO HOSPITAL,,,Active,2026-07-07,2027-07-07,2026-07-07,Federal Assistance Awards,"Km1 Dawakin Kudu Road, Off Kano/Kaduna Expressway, Tamburawa",,Kano,,,NGA,,"Km1 Dawakin Kudu Road, Off Kano/Kaduna Expressway, Tamburawa",Kano,,,NGA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,Naziru Ibrahim,,,N,,N,,
T95XWESJ4S61,V42 MANAGEMENT CONSULTING INC,,L13Y4,Active,2026-07-06,2027-07-06,2026-07-06,All Awards,57 OLDE TOWNE AVE,,RUSSELL,ON,K4R 0A5,CAN,,57 OLDE TOWNE AVE,RUSSELL,ON,K4R 0A5,CAN,Corporate Entity (Not Tax Exempt),N,N,N,N,Y,N,N,N,541611,Administrative Management and General Management Consulting Services ,541690,,,,,Andrew Barrett,,,N,,N,,
T9B4V19WJKB5,ACIOE FOUNDATION,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,"Floor 3, Suite 305 Yobe Investment House, Ralph Shodeinde Street, Central Business District",,Abuja,,,NGA,,"Floor 3, Suite 305 Yobe Investment House, Ralph Shodeinde Street, Central Business District",Abuja,,,NGA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,OLUKUNLE DARAMOLA,,,N,,N,,
RABMYZKDSL96,LabMaster Scientific E.A Limited,,STQU6,Active,2026-07-06,2027-07-06,2026-07-06,All Awards,"5th Floor, SilkWood Office Suites","Plot 209/947/, Ngong Road, Woodley/Kenyatta, Kibra",Nairobi,,,KEN,,"5th Floor, SilkWood Office Suites",Nairobi,,,KEN,International Organization,N,N,N,N,N,N,N,N,334516,Analytical Laboratory Instrument Manufacturing ,,6632;6640,,,,Amos Okil,,,N,,N,,
N37RQ9LMYXG4,"SAMARITAN'S WAY, RECOVERY COMMUNITY ORGANIZATION",,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,3590 LAKE DR SE,,GRAND RAPIDS,MI,49546,USA,,3590 LAKE DR SE,GRAND RAPIDS,MI,49546,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Jospeh Hekkema,,,N,,N,,
UFB7PE7A3QF5,AMBIOMAS ACCIONES Y RESPUESTAS ADAPTATIVAS,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,CALLE JOAQUIN AMARO ORIENTE 57,,ZITACUARO,Michoacan,61514,MEX,,CALLE JOAQUIN AMARO ORIENTE 57,ZITACUARO,Michoacan,61514,MEX,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Salvador Huitron Garcia,,,N,,N,,
TGQKRGYE7P22,GREAT LAKES HOMES LLC,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,586 COUNTY ROAD 18,,WRENSHALL,MN,55797,USA,,586 COUNTY ROAD 18,WRENSHALL,MN,55797,USA,Corporate Entity (Not Tax Exempt),Y,N,N,N,N,N,N,N,,,None,,,,,Amy Kotajarvi,,,N,,N,,
TMF3M8ZCPZ73,HAUS OF THREAD LLC,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,1016 Lemoyne Blvd,,Prentiss,MS,39474,USA,,po box 123,Carson,MS,39427,USA,Other,Y,N,N,N,N,N,N,N,,,None,,,,,Tia Brown,,,N,,N,,
U1TRU415X184,COON RAPIDS WEST LIMITED PARTNERSHIP,COON RAPIDS WEST LIMITED PARTNERSHIP,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,233 PARK AVE STE 201,,MINNEAPOLIS,MN,55415,USA,,233 PARK AVE STE 201,MINNEAPOLIS,MN,55415,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,Christine Lenz,,,N,,N,,
TN5XEPB1UVH7,THE JOURNEY,THE JOURNEY,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,6427 FRANCONIA RD,,SPRINGFIELD,VA,22150,USA,,6427 FRANCONIA RD,SPRINGFIELD,VA,22150,USA,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Robyn Ross,,,N,,N,,
U3NSZ4N921L9,SWARTZ CAPITAL LLC,SWARTZ CAPITAL LLC,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,241 HAMILTON RD,,MONTEZUMA,GA,31063,USA,,241 HAMILTON RD,MONTEZUMA,GA,31063,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Matt Swartz,,,N,,N,,
U56FBYRL2745,"Spring Grove Area Educational Fund, Inc.",,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,100 E College Ave,,Spring Grove,PA,17362,USA,,100 E College Ave,Spring Grove,PA,17362,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Stephanie Kennedy,,,N,,N,,
TF1MY5RMPLK8,FOUR O SIX LAND AND CATTLE LLC,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,85837 ROCKY CROSSING TRL,,BIG SANDY,MT,59520,USA,,85837 ROCKY CROSSING TRL,BIG SANDY,MT,59520,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,,,None,,,,,Ella Jurenka,,,N,,N,,
TF5HBLQMLR34,"PROBITY POINT ENTERPRISES, LLC",,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,102 Yukon Ln,,Chapel Hill,NC,27514,USA,,102 Yukon Ln,Chapel Hill,NC,27514,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,Vincent Chen,,,N,,N,,
NX4LPVNRB2Q8,Maya Walden,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,1328 Westhampton Woods Ct,,Wildwood,MO,63005,USA,,1328 Westhampton Woods Court,Wildwood,MO,63005,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,Maya Walden,,,N,,N,,
QXMAUKVXRM15,KENNEDY ENTERPRISES LLC,Product Design Online,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,16829 23RD AVE SE,,BOTHELL,WA,98012,USA,,PO 1914,Woodinville,WA,98072,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Kevin Hauger,,,N,,N,,
GKB4SDHFJBA4,VUE ROBOTICS L.L.C,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,36 MAPLEWOOD AVE,,PORTSMOUTH,NH,03801,USA,,36 MAPLEWOOD AVE,PORTSMOUTH,NH,03801,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,Christopher Lareau,,,N,,N,,
FDHYBNMMPEX5,TRANSITIONAL HEALTHCARE SOLUTIONS PLLC,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,4100 WOODWARD AVE,,DETROIT,MI,48201,USA,,4100 WOODWARD AVE,DETROIT,MI,48201,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,hassan harp,,,N,,N,,
YK9TBF5CX646,BETH EMETH CONGREGATION OF THE WEST VALLEY,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,13702 W MEEKER BLVD,,SUN CITY WEST,AZ,85375,USA,,13702 W MEEKER BLVD,SUN CITY WEST,AZ,85375,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Brad Friedlander,,,N,,N,,
K1HWUJL9YJY7,"TRAN INSTITUTE FOR PLASTIC SURGERY, INC",,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,23823 VALENCIA BLVD STE 220,,VALENCIA,CA,91355,USA,,23823 VALENCIA BLVD STE 220,VALENCIA,CA,91355,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Paul Tran,,,N,,N,,
U7NZT2KU5VC8,"Non-Governmental Non-Profit Organization ""Sahar Sinchalak"" Women's Public Association",,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,"8, 6th Tor Bozbozor Street",,Tashkent,,100077,UZB,,"8, 6th Tor Bozbozor Street",Tashkent,,100077,UZB,International Organization,N,N,N,N,N,N,N,Y,,,None,,,,,Munira Xodjaxanova,,,N,,N,,
ZBMAA86D5MR3,GISYS,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,101 PEPPERHILL LN,,GREENWOOD,SC,29649,USA,,101 PEPPERHILL LN,GREENWOOD,SC,29649,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Toni Aye,,,N,,N,,
UWJYPLAW2PN8,TRAIN YOUR BRAIN PROJECT,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,4613 SPRINGMAID LN,,FOREST HEIGHTS,MD,20745,USA,,9484 Pep Rally Lane,Waldorf,MD,20603,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Jennifer Mack,,,N,,N,,
